dataset,sample,has_gt,before_network_psnr,before_network_ssim,before_network_noise_est,before_network_sharpness,after_network_psnr,after_network_ssim,after_network_noise_est,after_network_sharpness,baseline_gaussian_psnr,baseline_gaussian_ssim,baseline_gaussian_noise_est,baseline_gaussian_sharpness,baseline_nlm_psnr,baseline_nlm_ssim,baseline_nlm_noise_est,baseline_nlm_sharpness,baseline_bm3d_psnr,baseline_bm3d_ssim,baseline_bm3d_noise_est,baseline_bm3d_sharpness
US,M1_full_0041,False,,,19.27353595255745,6096.6677169799805,,,1.4825796886582654,1385.0262908935547,,,2.965159377316531,1436.8944244384766,,,2.965159377316531,2932.4909896850586,,,1.4825796886582654,2374.892776489258
US,M1_full_0042,False,,,19.27353595255745,6170.109817504883,,,1.4825796886582654,1463.7586975097656,,,2.965159377316531,1499.197250366211,,,2.965159377316531,2994.0269317626953,,,1.4825796886582654,2432.7264251708984
US,M1_full_0043,False,,,19.27353595255745,6154.974327087402,,,1.4825796886582654,1450.3207397460938,,,2.965159377316531,1471.161750793457,,,2.965159377316531,3005.416015625,,,1.4825796886582654,2414.172950744629
US,M1_full_0044,False,,,19.27353595255745,6003.49934387207,,,1.4825796886582654,1362.324447631836,,,2.965159377316531,1405.0785522460938,,,2.965159377316531,2841.9719467163086,,,1.4825796886582654,2319.3058547973633
US,M1_full_0045,False,,,19.27353595255745,5944.827812194824,,,1.4825796886582654,1315.5204544067383,,,2.965159377316531,1373.0714492797852,,,2.965159377316531,2817.454475402832,,,1.4825796886582654,2295.113594055176
US,M1_full_0046,False,,,19.27353595255745,6153.929626464844,,,1.4825796886582654,1407.2874603271484,,,2.965159377316531,1432.7036361694336,,,2.965159377316531,2988.7499389648438,,,1.4825796886582654,2437.3642578125
US,M1_full_0047,False,,,19.27353595255745,6187.155364990234,,,1.4825796886582654,1469.9687042236328,,,2.965159377316531,1488.963996887207,,,2.965159377316531,3025.271125793457,,,1.4825796886582654,2462.4546508789062
US,M1_full_0048,False,,,19.27353595255745,6033.315414428711,,,1.4825796886582654,1353.1360626220703,,,2.965159377316531,1387.9814834594727,,,2.965159377316531,2882.4521713256836,,,1.4825796886582654,2338.937515258789
US,M1_full_0049,False,,,19.27353595255745,5890.714424133301,,,1.4825796886582654,1347.3128814697266,,,2.965159377316531,1365.3794708251953,,,2.965159377316531,2827.4070587158203,,,1.4825796886582654,2319.6894912719727
US,M1_full_0050,False,,,19.27353595255745,5864.116500854492,,,1.4825796886582654,1325.0419998168945,,,2.965159377316531,1355.0152435302734,,,2.965159377316531,2808.5430603027344,,,1.4825796886582654,2285.8821563720703
US,M1_full_0051,False,,,19.27353595255745,5830.5106201171875,,,1.4825796886582654,1267.4759368896484,,,2.965159377316531,1338.1979675292969,,,2.965159377316531,2731.0523529052734,,,1.4825796886582654,2198.123649597168
US,M1_full_0052,False,,,19.27353595255745,5676.048767089844,,,1.4825796886582654,1234.5845642089844,,,2.965159377316531,1304.4101333618164,,,2.965159377316531,2611.4759674072266,,,1.4825796886582654,2131.1457290649414
US,M1_full_0053,False,,,19.27353595255745,5492.69083404541,,,1.4825796886582654,1120.9676208496094,,,2.965159377316531,1245.5362548828125,,,2.965159377316531,2402.268928527832,,,1.4825796886582654,1978.0811920166016
US,M1_full_0054,False,,,19.27353595255745,5613.1209716796875,,,1.4825796886582654,1172.4211883544922,,,2.965159377316531,1281.578483581543,,,2.965159377316531,2520.395309448242,,,1.4825796886582654,2033.304458618164
US,M1_full_0055,False,,,19.27353595255745,5548.083290100098,,,1.4825796886582654,1106.203987121582,,,2.965159377316531,1252.4330520629883,,,2.965159377316531,2407.06884765625,,,1.4825796886582654,1967.8594589233398
US,M1_full_0056,False,,,19.27353595255745,5591.063636779785,,,1.4825796886582654,1119.101905822754,,,2.965159377316531,1241.5529861450195,,,2.965159377316531,2468.412483215332,,,1.4825796886582654,1965.5992126464844
US,M1_full_0057,False,,,19.27353595255745,5752.840950012207,,,1.4825796886582654,1268.1446914672852,,,2.965159377316531,1318.9355010986328,,,2.965159377316531,2684.5613327026367,,,1.4825796886582654,2169.4471435546875
US,M1_full_0058,False,,,19.27353595255745,6152.7200927734375,,,1.4825796886582654,1491.3388442993164,,,2.965159377316531,1470.3927001953125,,,2.965159377316531,3066.0025329589844,,,1.4825796886582654,2508.955795288086
US,M1_full_0059,False,,,19.27353595255745,6066.685264587402,,,1.4825796886582654,1381.292350769043,,,2.965159377316531,1430.3958892822266,,,2.965159377316531,2933.250961303711,,,1.4825796886582654,2399.505210876465
